sifra,ime,tipi,efekt,ATK,DEF,level,atribut,summon condition
45033006,Ally of Justice Enemy Catcher,"Effect Monster,Machine","When this card is Normal Summoned, you can gain control of 1 face-down Defense Position monster your opponent controls until the End Phase.                    ",1800,1800,6,DARK,
69461394,Ally of Justice Field Marshal,"Effect Monster,Machine","This card cannot be Special Summoned except by Synchro Summon. When this card destroys a face-down Defense Position monster by battle and sends it to the Graveyard, draw 1 card.                    ",2900,2600,9,DARK,1 Tuner + 2 or more non-Tuner monsters
25771826,Ally of Justice Garadholg,"Effect Monster,Machine","If this card battles a LIGHT monster, it gains 200 ATK during the Damage Step only.                    ",1600,400,4,DARK,
19204398,Ally of Justice Light Gazer,"Effect Monster,Machine",This card gains 200 ATK for each LIGHT monster in your opponent's Graveyard.                    ,2400,1600,8,DARK,1 Tuner + 1 or more non-Tuner monsters
76650663,Ally of Justice Nullfier,"Effect Monster,Machine",The effects of LIGHT monsters that battle this card are negated.                    ,1600,1200,4,DARK,
45450218,Ally of Justice Omni-Weapon,"Effect Monster,Machine","When this card destroys a LIGHT monster by battle and sends it to the Graveyard, draw 1 card. If that card is a Level 4 or lower DARK monster, you can reveal that card to Special Summon it.                    ",2200,800,5,DARK,
72845813,Ally of Justice Quarantine,"Effect Monster,Machine",Neither player can Special Summon LIGHT monsters.                    ,1700,1200,4,DARK,
55982698,Ally of Justice Reverse Break,"Effect Monster,Machine","If a face-up LIGHT monster is on the field, destroy this card. If this card attacks a face-down Defense Position monster, destroy that monster immediately with this card's effect without flipping it face-up or applying damage calculation.                    ",1200,1200,4,DARK,
52265835,Ally of Justice Rudra,"Effect Monster,Machine","If this card battles a LIGHT monster, it gains 700 ATK during the Damage Step only.                    ",1900,1200,5,DARK,
03648368,Ally of Justice Searcher,"Effect Monster,Machine","Once per turn, you can discard 1 card to flip 1 face-down Defense Position monster your opponent controls to face-up Attack Position. Flip Effects are not activated at that time.                    ",1400,100,3,DARK,
85876417,Ally of Justice Thousand Arms,"Effect Monster,Machine","This card can attack all face-up LIGHT monsters your opponent controls once each. If this card battles a non-LIGHT monster, destroy this card before damage calculation.                    ",1700,0,4,DARK,
71438011,Ally of Justice Thunder Armor,"Effect Monster,Machine","This card cannot be Special Summoned. While you control this face-up card, during battle between an attacking ""Ally of Justice"" monster you control and a Defense Position monster whose DEF is lower than the ATK of the attacking monster, inflict the difference as Battle Damage to your opponent.                    ",2700,2200,8,DARK,
22371016,Ally of Justice Unknown Crusher,"Effect Monster,Machine","When this card battles a LIGHT monster, remove that monster from play after damage calculation.                    ",1200,800,3,DARK,
82377606,Ally of Justice Unlimiter,"Effect Monster,Machine","You can Tribute this card to double the original ATK of 1 face-up ""Ally of Justice"" monster you control until the End Phase.                    ",600,200,2,DARK,
59482302,Ally Salvo,"Effect Monster,Machine","When this card is destroyed by battle with a LIGHT monster and sent to the Graveyard, select 2 cards on the field and destroy them.                    ",400,300,2,DARK,
92998610,Aloof Lupine,"Effect Monster,Beast","When this card is Normal Summoned: You can banish 1 monster from your hand; banish 1 monster from your Deck with the same Type as that monster. If this card is destroyed by battle, or if this card in its owner's possession is destroyed by an opponent's card effect: You can target 1 of your banished monsters; add it to your hand. You can only use each effect of ""Aloof Lupine"" once per turn.                    ",1700,300,4,DARK,
61470213,Altergeist Adminia,"Effect Monster,Spellcaster","When an opponent's Special Summoned monster declares an attack: You can return 1 ""Altergeist"" monster you control to the hand; negate that attack. If this card is Tributed and sent to the GY: You can Special Summon this card. You can only use each effect of ""Altergeist Dragvirion"" once per turn.                    ",3000,1200,,DARK,1 Tuner + 1+ non-Tuner monster
12977245,Altergeist Fifinellag,"Effect Monster,Spellcaster","Monsters your opponent controls cannot target ""Altergeist"" monsters you control for attacks, except ""Altergeist Fifinellag"", also your opponent cannot target ""Altergeist"" monsters you control with card effects, except ""Altergeist Fifinellag"".                    ",0,1000,2,DARK,
76685519,Altergeist Kidolga,"Effect Monster,Spellcaster","If you activate a Trap Card (except during the Damage Step): You can Special Summon this card from your hand. If this card is Special Summoned: You can Special Summon 1 ""Altergeist"" monster from your Deck in Defense Position, except ""Altergeist Multifaker"". You cannot Special Summon monsters the turn you activate this effect, except ""Altergeist"" monsters. You can only use each effect of ""Altergeist Multifaker"" once per turn.                    ",1000,800,,DARK,
59185998,Altergeist Pookuery,"Effect Monster,Spellcaster","If an ""Altergeist"" monster you control would be used as Link Material for an ""Altergeist"" monster, this card in your hand can also be used as material. You can only use this effect of ""Altergeist Pookuery"" once per turn. If an ""Altergeist"" Link Monster is Link Summoned to your field, while this card is in your GY (except during the Damage Step): You can add this card to your hand. You can only use this effect of ""Altergeist Pookuery"" once per Duel.                    ",300,100,1,DARK,
93503294,Altergeist Primebanshee,"Effect Monster,Spellcaster","If this card is Normal or Special Summoned: You can add 1 ""Branded"" Spell/Trap from your Deck to your hand. If a face-up Fusion Monster you control is destroyed by battle, or leaves the field because of an opponent's card effect, while this card is in your GY: You can target 1 Effect Monster your opponent controls; Special Summon this card, and if you do, negate the targeted monster's effects until the end of this turn. You can only use 1 ""Aluber the Jester of Despia"" effect per turn, and only once that turn.                    ",2100,0,,DARK,
27024795,Alviss of the Nordic Alfar,"Effect Monster,Spellcaster","If only this card is banished by the effect of a ""Nordic"" Link Monster: You can send to the GY 1 ""Nordic"" monster you control and 2 ""Nordic"" monsters from your Deck, whose total Levels equal 10, then Special Summon 1 ""Aesir"" monster from your Extra Deck. If an ""Aesir"" monster(s) in your possession is sent to your GY by your opponent's card: You can banish this card from your GY; Special Summon 1 ""Aesir"" monster from your Extra Deck with a different name from the cards in your GY. You can only use this effect of ""Alviss of the Nordic Alfar"" once per Duel.                    ",1500,1000,4,DARK,
94821366,Amazement Administrator Arlekino,"Effect Monster,Psychic","Once per turn: You can banish any number of ""Attraction"" Traps from your GY, then target that many cards your opponent controls; destroy them. You can only use each of the following effects of ""Amazement Administrator Arlekino"" once per turn. If a Trap Card is activated (except during the Damage Step): You can Special Summon this card from your hand. If your opponent Normal or Special Summons a monster(s) (except during the Damage Step): You can target 1 of those face-up monsters they control; equip 1 ""Attraction"" Trap from your Deck to that target.                    ",2600,2200,7,DARK,
41224658,Ambitious Gofer,"Effect Monster,Fiend","Once per turn, you select up to 2 monsters your opponent controls. Your opponent can reveal 1 monster in their hand to negate this card's effect. If they do not, destroy the selected monsters.                    ",2400,100,6,DARK,
13332685,Ame no Habakiri no Mitsurugi,"Effect Monster,Reptile","You can Ritual Summon this card with ""Mitsurugi Ritual"". Monsters your opponent controls lose 800 ATK. You can reveal this card in your hand; Special Summon 1 ""Mitsurugi"" monster from your Deck, then Tribute 1 monster you control. You can only use this effect of ""Ame no Habakiri no Mitsurugi"" once per Duel. If this card is Tributed: You can add 1 ""Mitsurugi"" card from your Deck to your hand, except ""Ame no Habakiri no Mitsurugi"", then you can Special Summon this card. You can only use this effect of ""Ame no Habakiri no Mitsurugi"" once per turn.                    ",2400,1800,8,DARK,
19899073,Ame no Murakumo no Mitsurugi,"Effect Monster,Reptile","You can Ritual Summon this card with ""Mitsurugi Ritual"". If this card is Special Summoned: You can destroy all monsters your opponent controls. When your opponent activates a card or effect (Quick Effect): You can activate this effect; your opponent can discard 1 card, or that effect is negated. If this card is Tributed: You can add 1 ""Mitsurugi"" card from your Deck to your hand, except ""Ame no Murakumo no Mitsurugi"", then you can Special Summon this card. You can only use each effect of ""Ame no Murakumo no Mitsurugi"" once per turn.                    ",3200,800,8,DARK,
75380687,Amulet Dragon,"Effect Monster,Dragon","Must be Fusion Summoned with the above Fusion Material Monsters or with ""The Eye of Timaeus"", and cannot be Special Summoned by other ways. If this card is Special Summoned: Target any number of Spell Cards in any Graveyard(s) (min. 1); banish those targets, and if you do, this card gains 100 ATK for each card banished by this effect. If this card is destroyed: You can target 1 Spellcaster-Type monster in your Graveyard; Special Summon that target.                    ",2900,2500,8,DARK,"""Dark Magician"" + 1 Dragon-Type monster."
61160289,"Amunessia, the Ogdoadic Queen","Effect Monster,Reptile","If this card is in your GY: You can Tribute 2 monsters; Special Summon this card. If a monster(s) is Special Summoned from your opponent's GY (except during the Damage Step): You can send 1 card they control to the GY. If a monster(s) is sent from your opponent's hand or Deck to the GY (except during the Damage Step): You can Special Summon 1 LIGHT or DARK Reptile monster from your GY, except ""Amunessia, the Ogdoadic Queen"". You can only use each effect of ""Amunessia, the Ogdoadic Queen"" once per turn.                    ",2700,2100,8,DARK,
80570228,Anarchist Monk of the Six Samurai,"Effect Monster,Warrior",<li>The Levels of all monsters your opponent controls are reduced by 1.                    ,500,0,3,DARK,"If you control a ""Six Samurai"" monster other than ""Anarchist Monk of the Six Samurai"", you can Special Summon this card (from your hand). You can only Special Summon ""Anarchist Monk of the Six Samurai"" once per turn this way. You can only use each of the following effects of ""Anarchist Monk of the Six Samurai"" once per turn. If this card is sent from the field to the GY: You can add 1 ""Six Samurai"" Quick-Play Spell from your Deck to your hand. A ""Six Samurai"" monster that was Synchro Summoned using this card gains this effect."
42431843,Ancient Brain,"Normal Monster,Fiend",A fallen fairy that is powerful in the dark.                    ,1000,700,3,DARK,
04179255,Ancient Pixie Dragon,"Effect Monster,Dragon","After resolving a Field Spell Card that was activated during your turn: Draw 1 card. You can only use this effect of ""Ancient Pixie Dragon"" once per turn. Once per turn: You can target 1 face-up Attack Position monster on the field; destroy that target. There must be a face-up Field Spell Card on the field to activate and to resolve this effect.                    ",2100,3000,7,DARK,1 Tuner + 1 or more non-Tuner monsters
49587396,Ancient Tool,"Normal Monster,Machine",A destructive machine discovered in the Ruins of the Ancients.                    ,1700,1400,5,DARK,
82791472,Ancient Warriors - Rebellious Lu Feng,"Effect Monster,Beast-Warrior","Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by controlling the highest ATK ""Ancient Warriors"" monster on the field (even if it's tied). You can only Special Summon ""Ancient Warriors - Rebellious Lu Feng"" once per turn this way. Once per turn, during the Main Phase (Quick Effect): You can destroy the 1 face-up monster your opponent controls with the highest ATK (your choice, if tied), also you cannot activate monster effects the turn you activate this effect, except ""Ancient Warriors"" monsters'. Once per turn, during the End Phase, if your opponent controls a monster with the highest ATK on the field (even if tied): Give control of this card to your opponent.                    ",2800,2200,8,DARK,
79582540,Ancient Warriors - Savage Don Ying,"Effect Monster,Beast-Warrior","While you control a Level 7 or higher ""Ancient Warriors"" monster, your opponent must pay 400 LP to activate a card or effect. You can only use each of the following effects of ""Ancient Warriors - Savage Don Ying"" once per turn. If this card is Normal or Special Summoned: You can add 1 Level 7 or higher ""Ancient Warriors"" monster or 1 ""Ancient Warriors"" Continuous Spell/Trap from your Deck to your hand. If a monster is sent to your opponent's GY (except during the Damage Step): You can target 1 card in your opponent's GY; banish it, and if you do, draw 1 card.                    ",2200,1800,6,DARK,
53266486,Anesthrokket Dragon,"Effect Monster,Dragon","When a Link Monster's effect is activated that targets this face-up card on the field (Quick Effect): You can destroy this card, then make 1 face-up monster on the field unable to attack, also it has its effects negated. During the End Phase, if this card is in the GY because it was destroyed on the field by battle or card effect and sent there this turn: You can Special Summon 1 ""Rokket"" monster from your Deck, except ""Anesthrokket Dragon"". You can only use each effect of ""Anesthrokket Dragon"" once per turn.                    ",0,2200,1,DARK,
65612386,Angmarl the Fiendish Monarch,"Effect Monster,Fiend",When this card is Tribute Summoned: You can banish 1 Spell Card from your Graveyard; add 1 card with the same name as the banished Spell Card from your Deck to your hand.                    ,2400,1000,6,DARK,
28306253,Angry Burger,"Effect Monster,Warrior","You can Ritual Summon this card with a ""Recipe"" card. Monsters your opponent controls that can attack must attack this card. You can only use each of the following effects of ""Angry Burger"" once per turn. You can reveal this card in your hand; add 1 ""Nouvelles"" monster from your Deck to your hand, and if you do, shuffle this card into the Deck. (Quick Effect): You can Tribute 1 Attack Position monster on either field, and if you do, Special Summon 1 ""Hungry Burger"" with 2000 ATK from your hand or Deck.                    ",2800,1850,6,DARK,"(This card is always treated as ""Hungry Burger"".)"
29603180,Annihilator Archfiend,"Effect Monster,Fiend","You can target 1 card you control and 1 card your opponent controls; destroy them, and if you destroyed a face-up Fiend monster(s) by this effect, this card gains ATK equal to half the Fiend monster(s)'s original ATK, until the end of this turn. You can only use this effect of ""Annihilator Archfiend"" once per turn.                    ",2000,3000,9,DARK,
41098335,Ape Fighter,"Effect Monster,Beast","If this card destroys an opponent's monster by battle: This card gains 300 ATK. If this card does not attack during your turn, the ATK gained from this effect returns to 0 during the End Phase of that turn.                    ",1900,1200,4,DARK,
31975743,Ape Magician,"Effect Monster,Beast","Cannot be Special Summoned. Once per turn, if this card is in face-up Attack Position: You can send 1 monster from your hand to the Graveyard to target 1 face-up Defense Position monster your opponent controls; take control of it until the End Phase. It cannot change its battle position this turn.                    ",800,1200,3,DARK,
78225596,Appliancer Celtopus,"Effect Monster,Machine","You can target 1 ""Appliancer"" monster you control; Special Summon this card from your hand, and if you do, this card's name becomes that monster's name until the End Phase. During your Main Phase, except the turn this card was sent to the GY: You can banish this card from your GY, then target 1 ""Appliancer"" monster you control; Special Summon 1 monster with the same name from your hand or GY. You can only use each effect of ""Appliancer Copybokkle"" once per turn.                    ",0,0,,DARK,
78447174,Appliancer Socketroll,"Effect Monster,Machine","If you control an ""Appliancer"" monster: You can Special Summon this card from your hand. If another ""Appliancer Socketroll"" is Special Summoned to your field while you control this monster (except during the Damage Step): You can Special Summon 1 ""Appliancer Socketroll"" from your Deck. You can only use each effect of ""Appliancer Socketroll"" once per turn.                    ",100,100,1,DARK,
30118200,Appliancer Vacculephant,"Effect Monster,Machine","You can Special Summon this card (from your hand) by discarding 1 card. If this card is Normal or Special Summoned: You can add 1 ""Dark Magician"" from your Deck to your hand. During damage calculation (in either player's turn), if your other DARK Spellcaster-Type monster battles an opponent's monster: You can send this card from your hand or face-up from your field to the Graveyard; that monster you control gains 2000 ATK and DEF during that damage calculation only.                    ",1000,1700,,DARK,
09156135,Apprentice Magician,"Effect Monster,Spellcaster",If this card is Summoned: Target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on that target. When this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster monster from your Deck in face-down Defense Position.                    ,400,800,2,DARK,
64977888,Apprentice Piper,"Effect Monster,Spellcaster",If this card is destroyed by battle or card effect and sent to the GY: You can Special Summon 1 monster from your hand.                    ,100,1500,2,DARK,FLIP: You can Special Summon 1 monster from your hand.
16889337,Aratama,"Spirit monster,Fiend","Cannot be Special Summoned. Once per turn, during the End Phase, if this card was Normal Summoned or flipped face-up this turn: Return this card to the hand. When this card is Normal Summoned or flipped face-up: You can add 1 Spirit monster from your Deck to your hand, except ""Aratama"".                    ",800,1800,4,DARK,
64276752,Arc Rebellion Xyz Dragon,"Effect Monster,Dragon","This Xyz Summoned card cannot be destroyed by card effects. You can detach 1 material from this card; this card gains ATK equal to the total original ATK of all other monsters on the field, then, if this card has a DARK Xyz Monster as material, negate the effects of all other face-up monsters on the field. After this effect resolves, you cannot declare attacks with other monsters for the rest of this turn. You can only use this effect of ""Arc Rebellion Xyz Dragon"" once per turn.                    ",3000,2500,5,DARK,3 Level 5 monsters
45349196,Archfiend Black Skull Dragon,"Effect Monster,Dragon","You can only Special Summon ""Archfiend Black Skull Dragon(s)"" once per turn. If this card attacks or is attacked, your opponent cannot activate cards or effects until the end of the Damage Step. If damage calculation is performed involving this Fusion Summoned card, at the end of the Battle Phase: You can target 1 ""Red-Eyes"" Normal Monster in your Graveyard; inflict damage to your opponent equal to its ATK in the Graveyard, then shuffle it into the Deck.                    ",3200,2500,9,DARK,"1 Level 6 ""Archfiend"" Normal Monster + 1 ""Red-Eyes"" Normal Monster"
92039899,Archfiend Cavalry,"Effect Monster,Fiend","If this card on the field is destroyed by a card effect and sent to the Graveyard: You can target 1 ""Archfiend"" monster in your Graveyard, except ""Archfiend Cavalry""; Special Summon that target. It cannot attack this turn.                    ",1900,0,4,DARK,
