sifra,ime,tip,efekt
06004133,Abyss Actors' Dress Rehearsal,normal spell,"At the start of your Main Phase 1: Add 1 ""Abyss Actor"" card and 1 ""Abyss Script"" Spell from your Deck to your hand. For the rest of this turn after this card resolves, you cannot Pendulum Summon monsters, except ""Abyss Actor"" monsters."
33503878,Abyss Script - Dramatic Story,normal spell,"Target 1 ""Abyss Actor"" Pendulum Monster you control; Special Summon 1 ""Abyss Actor"" monster from your Deck with a different name, then place the targeted monster in your Pendulum Zone or destroy it. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can return up to 2 cards on the field to the hand. You can only activate 1 ""Abyss Script - Dramatic Story"" per turn."
87390798,Abyss Script - Fantasy Magic,normal spell,"Target 1 ""Abyss Actor"" monster you control; this turn, every monster that battles it, but is not destroyed, returns to the hand at the end of the Damage Step. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can target 1 card your opponent controls; place it on top of the Deck."
50179591,Abyss Script - Fire Dragon's Lair,normal spell,"Target 1 ""Abyss Actor"" monster you control; if it destroys your opponent's monster by battle this turn, your opponent banishes 3 monsters from their Extra Deck (their choice). If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can look at your opponent's Extra Deck, also banish 1 monster from their Extra Deck. You can only use this effect of ""Abyss Script - Fire Dragon's Lair"" once per turn."
23784496,Abyss Script - Opening Ceremony,normal spell,"Gain 500 LP for each ""Abyss Actor"" monster you control. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can draw until you have 5 cards in your hand. You can only use each effect of ""Abyss Script - Opening Ceremony"" once per turn."
13662809,Abyss Script - Rise of the Abyss King,normal spell,"Target face-up cards on the field, up to the number of Attack Position ""Abyss Actor"" monsters with different names you control; destroy them. If you control a Level 7 or higher ""Abyss Actor"" monster, your opponent cannot activate cards or effects in response to this card's activation. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monsterin your Extra Deck: You can add up to 2 ""Abyss Actor"" cards and/or ""Abyss Script"" Spell Cards with different names from your Deck to your hand."
89801755,Abyssal Designator,normal spell,Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both the Type and Attribute declared from his/her hand or Deck to the Graveyard.
34838437,Accellight,normal spell,"If you control no monsters: Special Summon 1 Level 4 or lower ""Photon"" or ""Galaxy"" monster from your Deck. You can only activate 1 ""Accellight"" per turn. You cannot Normal Summon/Set during the turn you activate this card."
99927991,Adamancipator Friends,normal spell,"Excavate the top cards of your Deck equal to the number of Rock monsters you control +5, and if you do, you can add to your hand 1 excavated Rock monster with a Level equal to or lower than the number of the excavated cards, also place the remaining cards on the bottom of your Deck in any order. For the rest of this turn after this card resolves, you cannot Special Summon monsters, except Rock monsters."
72957245,Adamancipator Signs,normal spell,"Target 1 Rock monster in your GY; Special Summon it in Defense Position, then, if you Special Summoned an ""Adamancipator"" monster by this effect, you can take 1 Level 4 or lower Rock monster from your Deck and place it on top of your Deck."
51630558,Advance Draw,normal spell,Tribute 1 face-up Level 8 or higher monster you control. Draw 2 cards.
61314842,Advanced Heraldry Art,normal spell,"Target 2 ""Heraldic Beast"" monsters in your Graveyard; Special Summon both those targets. Immediately after this card resolves, Xyz Summon 1 Xyz Monster using those 2 monsters only."
82263578,After the Storm,normal spell,If there are no other cards on the field: Target 1 WATER or WIND monster in your Graveyard; add that target to your hand.
25345186,After the Struggle (F.K.A. After Genocide),normal spell,This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.
43575579,Afterglow,normal spell,"Banish this card, and as many ""Afterglow"" from your hand, Deck, GY, and face-up field as possible, then shuffle 1 of your banished ""Afterglow"" into the Deck. During your next Draw Phase, reveal the card you draw for your normal draw, and inflict 4000 damage to your opponent if it is ""Afterglow"". You can only activate 1 ""Afterglow"" per Duel."
64952266,Against the Wind,normal spell,"Select 1 ""Blackwing"" monster in your Graveyard. Take damage equal to the ATK of the selected monster and add it to your hand."
01475311,Allure of Darkness,normal spell,"Draw 2 cards, then banish 1 DARK monster from your hand, or, if you do not have any in your hand, send your entire hand to the GY."
37803970,Amazing Pendulum,normal spell,"If you have no cards in your Pendulum Zones: Add 2 face-up ""Magician"" Pendulum Monsters with different names from your Extra Deck to your hand. You can only activate 1 ""Amazing Pendulum"" per turn."
81325903,Amazoness Spellcaster,normal spell,"Target 1 ""Amazoness"" monster you control and 1 face-up monster your opponent controls; switch the original ATK of those targets until the end of this turn."
78665705,Ancient Chant,normal spell,"Add 1 ""The Winged Dragon of Ra"" from your Deck or GY to your hand, and if you do, you can Tribute Summon 1 monster during your Main Phase this turn, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) You can banish this card from your GY: If you Tribute Summon ""The Winged Dragon of Ra"" this turn, its original ATK/DEF become the combined original ATK/DEF of the monsters Tributed for its Summon. You can only activate 1 ""Ancient Chant"" per turn."
44052074,Ancient Gear Catapult,normal spell,"While you control no monsters: Target 1 face-up card you control; destroy it, and if you do, Special Summon 1 ""Ancient Gear"" monster from your Deck, ignoring its Summoning conditions. You can banish this card from your Graveyard, then target 1 face-up card you control; destroy it, and if you do, Special Summon 1 ""Ancient Gear Token"" (Machine-Type/EARTH/Level 1/ATK 0/DEF 0). You can only use 1 ""Ancient Gear Catapult"" effect per turn, and only once that turn."
67829249,Ancient Gear Drill,normal spell,"Activate only while you control a face-up ""Ancient Gear"" monster. Discard 1 card from your hand. Select 1 Spell Card from your Deck and Set it. You cannot use that Spell Card this turn."
04446672,Ancient Gear Explosive,normal spell,"Target 1 face-up ""Ancient Gear"" monster on your side of the field when you activate this card. Destroy the targeted monster and inflict damage equal to half its original ATK to your opponent."
30435145,Ancient Gear Factory,normal spell,"Select 1 ""Ancient Gear"" monster in your hand and show it to your opponent. Remove from play ""Ancient Gear"" cards in your Graveyard whose total Levels are equal to double the selected card's. You can Normal Summon the selected card without Tributes this turn."
64061284,Ancient Gear Fusion,normal spell,"Fusion Summon 1 ""Ancient Gear"" Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Materials. If you use an ""Ancient Gear Golem"" or ""Ancient Gear Golem - Ultimate Pound"" you control as Fusion Material, you can also use monsters from your Deck as material."
59811955,Ancient Gear Workshop,normal spell,"Return 1 ""Ancient Gear"" monster from your Graveyard to your hand."
11830996,Ancient Leaf,normal spell,"If you have 9000 or more Life Points, you can pay 2000 Life Points to draw 2 cards."
10667321,Ancient Rules,normal spell,Special Summon 1 Level 5 or higher Normal Monster from your hand.
17092736,Ancient Telescope,normal spell,See the top 5 cards of your opponent's Deck. Return the cards to the Deck in the same order.
91706817,Angel of Blue Tears,normal spell,"Target 1 face-up monster on the field; its controller's opponent takes damage equal to the number of cards in their hand x 200, then negate that target's effects until the end of this turn. If effect damage is inflicted (except during the Damage Step): You can banish this card from your GY: Set 1 Normal Trap directly from your hand or Deck. If Set from the hand, it can be activated this turn. You can only use 1 ""Angel of Blue Tears"" effect per turn, and only once that turn."
34236961,Ante,normal spell,"Each Player reveals 1 card from their hand. If one card is higher Level than the other, the card with the lower Level is sent to the Graveyard and the player who revealed it takes 1000 damage. (Non-Monster Cards are treated as Level 0.)"
30996652,Appliancer Reuse,normal spell,"Target 1 ""Appliancer"" monster in your GY; Special Summon it, but place it on the bottom of the Deck when it leaves the field."
66380357,Appliancer Test,normal spell,"Target 1 ""Appliancer"" Link Monster you control; Special Summon as many Link-1 ""Appliancer"" monsters from your GY as possible to your zones that monster points to, but banish them during the End Phase. You can only activate 1 ""Appliancer Test"" per turn."
59131526,Aqua Chorus Round,normal spell,"Banish 1 card from your hand, and if you do, during your next Standby Phase, you can add up to 2 cards with the same name as that banished card from your Deck to your hand. If you activated this card while your opponent controlled no cards, for the rest of this turn you cannot activate cards, or the effects of cards, with the same original name as that banished card."
07653207,Aqua Jet,normal spell,"Target 1 face-up Fish, Sea Serpent, or Aqua-Type monster you control; it gains 1000 ATK."
32278723,Aqua Jet Surface,normal spell,"Special Summon 1 Level 4 or lower Fish, Sea Serpent, or Aqua monster from your hand or GY, but you cannot Special Summon from the Extra Deck, except Xyz Monsters, while you control that face-up monster. If your opponent controls an Attack Position monster: You can banish this card from your GY, then target 1 Fish, Sea Serpent, or Aqua monster you control; it gains 1000 ATK until the end of this turn. You can only use each effect of ""Aqua Jet Surface"" once per turn."
11819473,Arcana Reading,normal spell,"Toss a coin and apply this effect. If ""Light Barrier"" is in your Field Zone, you can choose the effect instead.<br><li>Heads: Add 1 card from your Deck to your hand that has a coin tossing effect, except ""Arcana Reading"".<br><li>Tails: Your opponent adds 1 card from their Deck to their hand.<br>You can banish this card from your GY; immediately after this effect resolves, Normal Summon 1 ""Arcana Force"" monster.<br>You can only use each effect of ""Arcana Reading"" once per turn."
76302448,Arcana Spread,normal spell,"Toss a coin and apply this effect. If ""Light Barrier"" is in your Field Zone, you can choose the effect instead.<br><li>Heads: Special Summon 1 Level 4 or lower ""Arcana Force"" monster from your Deck.<br><li>Tails: Special Summon 1 monster that has a coin tossing effect from your GY.<br>You can banish this card from your GY; add 1 card from your GY to your hand that has a coin tossing effect. You can only use 1 ""Arcana Spread"" effect per turn, and only once that turn."
61606250,Armed Dragon Blitz,normal spell,"Target 1 ""Armed Dragon"" monster you control; take 1 monster with the same name from your Deck or GY, and either add it to your hand or Special Summon it, ignoring its Summoning conditions, but it cannot attack directly. You can only activate 1 ""Armed Dragon Blitz"" per turn. You cannot Special Summon monsters the turn you activate this card, except Dragon monsters."
21056275,Armed Rebeellion,normal spell,"Special Summon 1 Insect monster with 1000 or less ATK from your hand or Deck, then if you Special Summoned from the Deck, send 1 monster you control to the GY, also you cannot Special Summon for the rest of this turn after this card resolves, except Insect monsters. If a face-up Insect Synchro Monster(s) you control is destroyed by battle or card effect, while this card is in your GY: You can banish this card; add 1 ""Summoning Swarm"" from your Deck to your hand. You can only activate 1 ""Armed Rebeellion"" per turn."
79155167,Armor Blast,normal spell,"Target 1 face-up ""Inzektor"" card you control and 2 face-up cards your opponent controls; destroy them."
16272453,Armor Ninjitsu Art of Alchemy,normal spell,"If you control a face-up ""Ninjitsu Art"" card: Destroy all face-up ""Ninjitsu Art"" cards you control, then draw 2 cards."
25861589,Aroma Blend,normal spell,"Discard 1 card; place 1 ""Humid Winds"", ""Dried Winds"", or ""Blessed Winds"" from your hand or Deck, face-up in your Spell & Trap Zone. You can banish this card from your GY; Fusion Summon 1 Plant Fusion Monster from your Extra Deck, by banishing its materials from your hand or field. If your LP are higher than your opponent's, you can also banish Plant monsters from your GY as material. You can only use each effect of ""Aroma Blend"" once per turn."
69296555,Array of Revealing Light,normal spell,"Declare 1 Type of monster. Any monster of the declared Type cannot declare an attack during the turn it is Normal Summoned, Flip Summoned or Special Summoned."
74011784,Artmage Varnish -Alteration-,normal spell,"Place 1 ""Artmage Academic Arcane Arts Acropolis"" from your Deck or GY, face-up in your Field Zone, or if you control ""Artmage Academic Arcane Arts Acropolis"", add 1 ""Artmage"" card from your Deck to your hand instead, except ""Artmage Varnish -Alteration-"". When your ""Artmage"" monster is targeted for an attack: You can banish this card from your GY; negate that attack, then you can Special Summon 1 ""Medius the Pure"" from your hand. You can only use each effect of ""Artmage Varnish -Alteration-"" once per turn."
29863101,Assault Teleport,normal spell,"Return 1 ""/Assault Mode"" monster from your hand to the Deck. Draw 2 cards."
42502956,Ayers Rock Sunrise,normal spell,"Target 1 Beast-Type monster in your Graveyard; Special Summon that target, and if you do, all face-up monsters your opponent currentlycontrols lose 200 ATK for each Beast, Plant and Winged-Beast-Type monster currently in your Graveyard, until the end of this turn. You can only activate 1 ""Ayers Rock Sunrise"" per turn."
47453433,Back to Square One,normal spell,Discard 1 card from your hand. Return 1 monster on the field to the top of the owner's Deck.
68833958,Back-Up Rider,normal spell,Target 1 face-up monster on the field; it gains 1500 ATK until the end of this turn.
07165085,Bait Doll,normal spell,"Force the activation of 1 face-down Trap Card. If the timing of the activation of the Trap Card is incorrect, negate the effect and destroy it. If it is not a Trap Card, it is returned to its original position. After this card is activated, it is placed into the Deck (not the Graveyard). Then shuffle the Deck."
87112784,Banishment of the Darklords,normal spell,"Add 1 ""Darklord"" card from your Deck to your hand, except ""Banishment of the Darklords"". You can only activate 1 ""Banishment of the Darklords"" per turn."
97769122,Barian's Chaos Draw,normal spell,"To activate this card, you must draw it for your normal draw in your Draw Phase, reveal it, and keep it revealed until Main Phase 1. During that Main Phase: You can activate 1 of these effects;<br><li>Send 1 ""Seventh"" Normal Spell from your Deck to the GY; this effect becomes that Spell's effect when that card is activated.<br><li>Special Summon up to 2 monsters from your Deck, but negate their effects, then immediately after this effect resolves, Xyz Summon 1 ""Number"" monster using materials you control, including both those monsters."
11813722,Barkion's Bark,normal spell,"Activate only if you control a face-up ""Naturia"" monster. Your opponent cannot activate Trap Cards this turn."
61181383,Battery Charger,normal spell,"Pay 500 Life Points. Special Summon 1 monster from your Graveyard that includes ""Batteryman"" in its card name."
15629801,Battle Waltz,normal spell,"Select 1 face-up Synchro Monster you control. Special Summon 1 ""Waltz Token"" with the same Type, Attribute, Level, ATK and DEF as that monster. Players take no Battle Damage from battles involving this Token."
36916401,Battlin' Boxing Spirits,normal spell,"Send the top card of your Deck to the Graveyard, then target 1 ""Battlin' Boxer"" monster in your Graveyard; Special Summon that target in face-up Defense Position. You can only activate 1 ""Battlin' Boxing Spirits"" per turn."
09999961,Beast Rage,normal spell,All monsters you control gain 200 ATK for each of your removed from play Beast-Type and Winged Beast-Type monsters.
87240371,Beetrooper Descent,normal spell,"Special Summon 1 ""Beetrooper Token"" (Insect/EARTH/Level 3/ATK 1000/DEF 1000), then if you control an Insect monster with 3000 or more ATK, you can destroy 1 other Spell/Trap on the field. You can only activate 1 ""Beetrooper Descent"" per turn."
13234975,Beetrooper Landing,normal spell,"Fusion Summon 1 Insect Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. If this card is in your GY, except the turn it was sent there: You can banish 2 Insect monsters from your GY; add this card to your hand. You can only use this effect of ""Beetrooper Landing"" once per turn."
23969415,Beta Evolution Pill - Ultranscendance,normal spell,"Tribute 2 monsters from your hand and/or field, including a Dinosaur monster; Special Summon 1 Level 5 or higher Dinosaur monster from your Deck or Extra Deck, with an equal or higher ATK than the total ATK of those Tributed monsters, also for the rest of this turn after this card resolves, you cannot Special Summon monsters from the Extra Deck, except Dragon, Dinosaur, Sea Serpent, or Wyrm monsters. You can only activate 1 ""Beta Evolution Pill - Ultranscendance"" per turn."
35778533,Beware the White Forest,normal spell,"If you control a Level 6 or higher Illusion or Spellcaster monster: Target 1 card your opponent controls; destroy it. If this card is sent to the GY to activate a monster effect: You can Set this card. You can only use each effect of ""Beware the White Forest"" once per turn."
84808313,Big Evolution Pill,normal spell,"After this card's activation, it remains on the field, but destroy it during your opponent's 3rd End Phase. Tribute 1 Dinosaur monster to activate this card; while this card is face-up on the field, you can Normal Summon Level 5 or higher Dinosaur monsters without Tributing."
51562916,Big Wave Small Wave,normal spell,"Destroy all face-up WATER monsters on your side of the field. Then you can Special Summon WATER monsters from your hand, up to the same number of monsters destroyed by this effect."
93437091,"Bingo Machine, Go!!!",normal spell,"Reveal 3 cards from your Deck that each meets at least 1 of the criteria listed below, your opponent randomly picks 1 for you to add to your hand, and you shuffle the rest into your Deck. You can only activate 1 ""Bingo Machine, Go!!!"" per turn.<br><li>""Blue-Eyes"" monster.<br><li>Spell/Trap that specifically lists the card ""Blue-Eyes White Dragon"" or ""Blue-Eyes Ultimate Dragon"", except ""Bingo Machine, Go!!!""."
05439384,Birth of the Prominence Flame,normal spell,"Target 2 FIRE monsters (1 Tuner and 1 non-Tuner) with 200 DEF in your GY; banish both monsters, and if you do, Special Summon 1 FIRE Synchro Monster from your Extra Deck whose Level equals the total Levels of those monsters. You can only activate 1 ""Birth of the Prominence Flame"" per turn."
67779172,Black-Winged Strafe,normal spell,"Send 1 ""Blackwing"" monster from your hand to the Graveyard to select 1 Defense Position monster your opponent controls. Send that monster to the Graveyard."
25880422,Block Attack,normal spell,Select 1 face-up Attack Position monster on your opponent's side of the field and change it to Defense Position.
20871001,Blue Medicine,normal spell,Increase your Life Points by 400 points.
22346472,Blustering Winds,normal spell,Target 1 face-up monster you control; it gains 1000 ATK and DEF until your next Standby Phase.
60709218,Bond Between Teacher and Student,normal spell,"If you control ""Dark Magician"": Special Summon 1 ""Dark Magician Girl"" from your hand, Deck, or GY, then, you can Set 1 ""Dark Magic Attack"", ""Dark Burning Attack"", ""Dark Burning Magic"", or ""Dark Magic Twin Burst"" directly from your Deck. You can only activate 1 ""Bond Between Teacher and Student"" per turn."
79402185,Bonding - D2O,normal spell,"Tribute 2 ""Duoterion"" and 1 ""Oxygeddon"" in your hand and/or field; Special Summon 1 ""Water Dragon"" or ""Water Dragon Cluster"" from your hand, Deck, or GY. (This is treated as a Special Summon with the effect of ""Bonding - H2O"".) If ""Water Dragon"" or ""Water Dragon Cluster"" is sent from the field to your GY while this card is in your GY: Add this card to your hand. You can only use this effect of ""Bonding - D2O"" once per turn."
45898858,Bonding - H2O,normal spell,"Tribute 2 ""Hydrogeddon"" and 1 ""Oxygeddon""; Special Summon 1 ""Water Dragon"" from your hand, Deck, or GY."
96704974,Boogie Trap,normal spell,"Discard 2 cards, then target 1 Trap in your GY; Set that target. It can be activated this turn. You can only activate 1 ""Boogie Trap"" per turn."
02204140,Book of Life,normal spell,"Target 1 Zombie monster in your GY and 1 monster in your opponent's GY; Special Summon the first target, also banish the second target."
38699854,Book of Taiyou,normal spell,Flip 1 face-down monster on the field into face-up Attack Position.
12986778,Boon of the Meklord Emperor,normal spell,"Activate only if the only face-up monsters on the field are 2 ""Meklord"" monsters. Draw 2 cards. You cannot conduct your Battle Phase the turn you activate this card."
87910978,Brain Control,normal spell,"Pay 800 LP, then target 1 face-up monster your opponent controls that can be Normal Summoned/Set; take control of that target until the End Phase."
62022479,Branded Bond,normal spell,"Special Summon 1 of your ""Fallen of Albaz"" that is banished, in your hand, or in your GY. During the End Phase, if this card is in the GY because it was sent there to activate the effect of ""Fallen of Albaz"" this turn: You can Set this card. You can only use each effect of ""Branded Bond"" once per turn."
44362883,Branded Fusion,normal spell,"Fusion Summon 1 Fusion Monster that mentions ""Fallen of Albaz"" as material from your Extra Deck, using 2 monsters from your hand, Deck, or field as Fusion Material. You cannot Special Summon monsters from the Extra Deck, except Fusion Monsters, the turn you activate this card. You can only activate 1 ""Branded Fusion"" per turn."
34995106,Branded in White,normal spell,"Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field as material, including a Dragon monster. You can also banish monsters from your GY as material, if you use ""Fallen of Albaz"" as Fusion Material from your hand, field, or by banishing itself from your GY. During the End Phase, if this card is in the GY because it was sent there to activate the effect of ""Fallen of Albaz"" this turn: You can Set this card. You can only use each effect of ""Branded in White"" once per turn."
10065487,Branded Loss,normal spell,"Target 1 monster your opponent controls that was Special Summoned from the Extra Deck and 1 Fusion Monster you control; shuffle them into the Deck(s), also, during the End Phase of this turn, each player can Special Summon 1 Fusion Monster that mentions ""Fallen of Albaz"" as material from their own Extra Deck. You can only activate 1 ""Branded Loss"" per turn."
20101223,Breath of Light,normal spell,Destroy all face-up Rock-Type monsters on the field.
35183853,Bujin Regalia - The Mirror,normal spell,"At the start of your Main Phase 1, if your opponent controls more monsters than you do and you control a Beast-Warrior-Type ""Bujin"" monster: Until the end of your opponent's next turn, Spell/Trap Cards, and their effects, cannot be activated."
73906480,Bujincarnation,normal spell,"If your opponent controls a monster and you control no monsters: Target 1 ""Bujin"" monster in your Graveyard and 1 of your banished ""Bujin"" monsters; Special Summon both targets. They cannot be used as Xyz Materials for an Xyz Summon, except for the Xyz Summon of a Beast, Beast-Warrior, or Winged Beast-Type monster."
55599882,Bujintervention,normal spell,"Target 1 ""Bujin"" monster on the field; apply this effect to it for the rest of this turn. Each time it destroys a monster by battle whose current ATK is greater than or equal to the targeted monster's original ATK, andsends it to the Graveyard: Banish the destroyed monster, and if you do, banish all monsters from your opponent's hand, Main Deck, Extra Deck, and Graveyard with the same name that the destroyed monster had in the Graveyard."
33611061,Bujinunity,normal spell,"If you control no other cards and have at least 1 other card in your hand: Shuffle all Beast-Warrior-Type ""Bujin"" monsters from your Graveyard into the Deck (min. 1), and if you do, send your entire hand to the Graveyard (min. 1), then you can add up to 3 Beast-Warrior-Type ""Bujin"" monsters with different names from your Deck to your hand. You can only activate 1 ""Bujinunity"" per turn."
46898368,Burning Draw,normal spell,"(This card is always treated as a ""Salamangreat"" card.)<br>If your opponent controls more cards than you do: Target 1 Link Monster your opponent controls; draw cards equal to its Link Rating. You can only activate 1 ""Burning Draw"" per turn. You cannot Normal or Special Summon monsters the turn you activate this card, except FIRE monsters."
27191436,Burst Return,normal spell,"If you control a face-up ""Elemental HERO Burstinatrix"": Return all face-up ""Elemental HERO"" monsters on the field to the hand, except ""Elemental HERO Burstinatrix""."
17655904,Burst Stream of Destruction,normal spell,"If you control a face-up ""Blue-Eyes White Dragon"": Destroy all monsters your opponent controls. ""Blue-Eyes White Dragons"" cannot attack the turn you activate this card."
51773900,Calming Magic,normal spell,"This card can only be activated at the start of Main Phase 1. During the Main Phases and Battle Phase of this turn, neither player can Summon monsters."
52112003,Card Advance,normal spell,"Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order. You can Tribute Summon 1 monster in addition to your Normal Summon/Set this turn. (You can only gain this effect once per turn.)"
72892473,Card Destruction,normal spell,"Both players discard as many cards as  possible from their hands, then each player draws the same number of cards they discarded."
59750328,Card of Demise,normal spell,"Draw until you have 3 cards in your hand, also for the rest of this turn after this card resolves, your opponent takes no damage. During the End Phase of this turn, send your entire hand to the GY. You can only activate 1 ""Card of Demise"" per turn. You cannot Special Summon during the turn you activate this card."
74191528,Card of Fate,normal spell,"Each player chooses 1 card from their Deck, then each player combines it with 4 additional random cards chosen from their Deck by their opponent, then randomly selects 1 of those 5 cards to reveal and add to their hand. Shuffle the rest back into the Decks. You can only activate 1 ""Card of Fate"" per turn."
42664989,Card of Sanctity,normal spell,Banish all other cards you control and in your hand (min. 1 from each); draw until you have 2 cards in your hand.
07044562,Card of the Soul,normal spell,"Look at your Deck, and if you do, you can add 1 monster from your Deck to your hand, whose sum of ATK and DEF equals your LP. You can only activate 1 ""Card of the Soul"" per turn."
72767833,Card Rotator,normal spell,Send 1 card from your hand to the Graveyard. Change the battle positions of all monsters your opponent controls. (Face-down Defense Position monsters are flipped to face-up Attack Position.)
04168871,Cards for Black Feathers,normal spell,"Remove from play 1 ""Blackwing"" monster in your hand to draw 2 cards. You cannot Special Summon during the same turn you activate this card. You can only activate 1 ""Cards for Black Feathers"" per turn."
54977057,Cards from the Sky,normal spell,Remove from play 1 LIGHT Fairy-Type monster in your hand and draw 2 cards. You cannot Special Summon or conduct your Battle Phase during the same turn you activate this card.
39701395,Cards of Consonance,normal spell,Discard 1 Dragon-Type Tuner monster with 1000 or less ATK; draw 2 cards.
32566831,Cards of the Red Stone,normal spell,"Send 1 Level 7 ""Red-Eyes"" monster from your hand to the Graveyard; draw 2 cards, then you can send 1 Level 7 ""Red-Eyes"" monster from your Deck to the Graveyard. You can only activate 1 ""Cards of the Red Stone"" per turn."
67378104,Celestial Observatory,normal spell,"Place 1 Level 6 monster from your hand or face-up field on the bottom of the Deck; draw 2 cards. You can only activate 1 ""Celestial Observatory"" per turn."
90812044,Chain Summon,normal spell,"If you control 2 or more face-up Xyz Monsters: Target the one with the lowest Rank (your choice, if tied); Special Summon 1 Xyz Monster from your Extra Deck, whose Rank is lower than that Xyz Monster, but the Special Summoned monster cannot attack directly, also return it to the Extra Deck during the End Phase."
04031928,Change of Heart,normal spell,Target 1 monster your opponent controls; take control of it until the End Phase.
61044390,Chaos End,normal spell,You can only activate this card if 7 or more of your cards are currently removed from play. Destroy all Monster Cards on the field.
97439308,Chaos Greed,normal spell,You can only activate this card if 4 or more of your cards are currently removed from play and there are no cards in your Graveyard. Draw 2 cards from your Deck.
76766706,Chaos Seed,normal spell,"If you control both LIGHT and DARK monster(s): You can target 1 of your banished LIGHT or DARK Warrior-Type monsters; add it to your hand. You can only activate 1 ""Chaos Seed"" per turn."
